run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,configname,DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,datetime,20240121-16:04:57,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,experiment,DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,inifile,omnetpp.ini,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,iterationvars,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,iterationvarsf,"numFailuresUAV1=1,failureDuration=3600s-",,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,measurement,"$numFailuresUAV1=1, $failureDuration=3600s",,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,network,DADCA_ACK_n20_u4_a8000m2_0,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,processid,29072,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,repetition,0,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,replication,#0,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,resultdir,results,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,runnumber,2,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,runattr,,,seedset,2,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,itervar,,,failureDuration,3600s,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,itervar,,,numFailuresUAV1,1,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.numUAVs,4,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_1.mobility.initialLatitude,-15.83815034deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_1.mobility.initialLongitude,-47.92566586deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_2.mobility.initialLatitude,-15.80685456deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_2.mobility.initialLongitude,-47.92525401deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_3.mobility.initialLatitude,-15.78727092deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_3.mobility.initialLongitude,-47.92459616deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_4.mobility.initialLatitude,-15.82744564deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_4.mobility.initialLongitude,-47.92239968deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_5.mobility.initialLatitude,-15.82091292deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_5.mobility.initialLongitude,-47.92391225deg,,,,,,,
DADCA_ACK_n20_u4_a8000m2_0-DADCA-ACK-2-20240121-16:04:57-29072,param,,,*.sensors_6.mobility.initialLatitude,-15.80374631deg,,,,,,,
